,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GTM,0,2,2,0,4,0,0,2,92,4,0,54,12,2,4,26,4,0,4,22,6,2,2,2,0,6,4,0,28,128,4,0,0,6,2,70,40,70,26,8,8,38,4,0,96,0,0,52,14,2,0,0,10,64,0,2,12,44,2,36,8,0,88,6,6,12,4,0,56,0,0,2,134,4,18,0,0,4,0,0,8,0,0,0,0,0,46,12,16,14,8,96,0,4,6,2,2,14,38,6,10,32,4,60,2,8,0,0,20,0,2,4,2,2,0,0,8,2,12,2,10,0,2,2,0,6,0,140,0,4,4,0,2,0,4,4,2,0,2,6,10,0,0,2,16,26,28,18,4,0,26,2,50,50,62,18,0,10,20,0,12,22,0,0,4,10,16,6,8,2,8,10,0,0,0,0,34,0,0,6,0,0,0,6,8,28,0,0,0,0,0,2,4,16,0,0,2,0,0,4,16,0,16,6,8,4,40,472,2,0,0,50,0,8,2,0,0,2,30,42,4
GUF,0,0,0,0,0,0,0,0,8,0,0,20,12,0,0,42,0,0,0,0,0,0,0,0,0,0,2,0,6,44,0,4,0,0,2,20,38,0,18,8,4,4,0,0,16,0,0,2,2,0,0,0,14,14,0,0,10,0,0,10,2,0,34,2,2,6,0,0,202,0,0,4,48,2,4,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,6,0,0,8,0,0,0,0,16,2,0,14,0,4,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,2,0,16,6,0,0,6,0,2,8,6,0,0,0,2,0,4,0,0,0,2,0,4,0,2,2,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,0,6,0,2,0,0,58,0,0,0,8,0,6,0,0,0,0,6,0,0
GUY,0,0,0,0,0,0,0,4,6,0,0,16,0,4,0,8,0,0,0,10,0,4,0,0,0,0,4,0,8,18,0,2,0,0,0,22,6,6,16,2,2,2,0,0,12,0,0,2,0,0,0,0,6,16,0,0,4,2,4,6,4,0,12,4,4,8,0,0,14,0,0,2,48,0,8,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,8,8,0,0,6,4,4,2,6,2,4,8,2,4,4,0,0,0,4,4,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,10,0,14,6,4,0,12,4,4,8,12,6,0,2,4,0,8,6,0,0,4,4,6,4,6,0,0,10,0,0,0,0,0,0,0,8,0,0,12,4,0,4,0,0,0,0,0,0,0,8,0,0,0,0,6,0,6,0,6,2,8,6,0,72,0,0,0,4,0,8,0,0,2,0,6,0,0
HND,0,2,2,0,4,0,0,4,48,2,0,50,8,2,2,12,2,0,4,6,6,2,0,0,0,2,2,0,20,126,0,2,0,2,2,42,60,50,72,2,2,2,0,0,156,0,0,48,16,0,0,0,4,64,0,2,2,34,50,32,16,0,114,2,6,2,0,0,74,0,0,2,130,2,4,0,0,0,0,0,4,2,0,46,2,0,0,2,22,2,8,24,0,50,8,2,0,2,56,4,4,12,2,6,2,2,0,0,4,4,2,6,0,2,0,0,6,0,4,0,2,0,6,2,0,2,2,110,0,4,2,0,6,0,4,2,4,0,0,4,6,0,0,2,4,34,56,6,6,0,4,0,12,36,70,58,0,4,56,0,6,22,2,0,0,54,62,2,16,6,4,6,0,0,0,0,28,0,0,4,0,0,2,4,2,8,0,0,0,0,0,2,2,12,0,0,2,0,0,4,12,0,6,4,6,50,30,266,2,0,0,34,0,56,0,0,2,2,8,2,2
HRV,0,2,2,10,72,0,0,54,124,328,0,656,1004,134,4,880,20,0,4,44,512,24,0,376,0,220,0,0,2,534,4,8,0,20,2,462,968,102,774,10,18,6,0,0,252,0,2,18,100,0,0,334,848,1886,0,0,526,10,62,202,288,6,1340,356,46,660,0,0,1378,2,12,2,1970,228,46,2,0,4,0,0,852,0,0,12,0,4,2,0,4,768,142,600,0,422,382,40,60,362,2016,8,58,518,40,42,48,8,0,2,448,46,4,68,0,22,2,2,192,0,392,62,300,0,44,0,26,6,0,380,0,164,2,80,4,234,6,12,6,0,12,10,262,6,0,4,68,2,832,520,42,0,284,24,384,32,140,44,0,2,1116,2,768,18,26,0,242,610,764,20,176,12,4,110,0,0,2,0,4,4,0,976,0,0,0,376,934,664,0,0,2,10,0,4,4,322,4,4,2,0,0,44,694,0,268,18,22,472,22,1598,36,0,0,36,0,86,0,0,46,22,230,12,4
HTI,0,4,2,0,4,0,0,2,12,8,0,12,2,2,6,16,10,0,4,16,2,0,4,0,0,10,0,0,4,30,4,0,0,10,4,28,16,12,8,4,6,8,2,0,12,0,0,4,4,0,2,0,2,6,0,2,6,18,2,6,4,0,10,6,16,4,0,0,34,0,0,2,36,8,8,0,0,2,0,0,2,0,0,16,0,0,22,4,0,2,14,24,0,4,4,2,0,4,14,6,4,4,6,20,8,8,0,0,4,0,4,2,0,2,0,0,2,6,4,0,2,0,2,2,0,6,0,16,0,2,6,0,8,0,4,2,2,0,0,16,4,0,0,4,2,8,12,2,8,0,2,0,10,14,32,6,0,4,2,0,6,6,0,0,0,2,2,2,2,2,6,6,0,0,0,2,12,0,0,2,0,0,0,2,2,2,0,0,0,0,0,2,2,12,0,0,2,0,2,2,2,0,2,12,10,2,4,250,2,0,0,6,0,2,0,0,0,2,20,4,8
HUN,0,4,4,6,42,0,0,212,380,416,0,1228,1772,286,6,1346,10,0,4,28,730,8,0,76,0,390,0,0,8,932,2,16,0,12,2,1202,1658,384,1610,16,22,6,0,0,466,0,10,20,100,0,0,348,1506,3970,0,2,986,8,44,202,550,6,2146,426,34,976,6,0,2328,2,4,2,3886,392,42,0,2,2,0,0,1110,0,0,14,0,0,2,768,2,0,156,854,0,530,542,88,46,668,2602,4,66,1084,54,54,28,6,0,2,772,46,4,64,0,10,0,0,180,0,458,50,342,0,214,28,46,6,0,480,0,110,2,80,6,180,16,10,4,0,32,12,298,4,0,2,32,2,1614,850,24,0,346,22,444,24,144,56,0,4,1802,2,918,12,142,0,236,1226,1258,8,222,12,6,140,0,0,2,2,6,6,0,838,0,0,0,858,628,1432,0,0,2,16,0,4,4,370,10,2,2,0,0,54,972,0,642,20,20,588,24,3926,44,4,0,40,0,304,0,0,20,12,478,8,6
IDN,0,14,2,12,6,0,0,102,82,106,0,1392,196,110,4,198,40,0,20,214,38,28,2,6,0,12,6,0,18,336,6,138,20,26,8,346,388,66,1000,10,50,18,18,2,114,2,2,26,102,0,0,22,188,876,0,0,230,8,34,34,178,0,246,46,82,226,6,0,580,0,18,16,1616,14,92,0,0,8,0,0,144,0,0,8,6,8,8,142,14,156,0,706,0,84,166,94,18,58,402,10,80,2364,38,110,48,70,2,0,758,50,22,38,6,32,0,0,84,6,24,16,16,0,30,0,0,12,10,210,0,12,6,4,100,0,36,16,2,0,4,16,1832,4,2,4,172,2,956,240,132,0,216,30,342,38,188,356,4,24,208,0,108,16,24,0,48,164,204,36,282,12,12,522,0,0,4,6,8,0,2,62,2,0,6,134,38,270,0,0,4,12,2,2,18,698,4,0,4,0,4,42,194,0,912,46,62,156,6,1514,8,0,2,42,0,414,2,2,8,26,300,28,32
IND,2,42,2,14,38,0,0,1280,654,368,8,5992,1328,180,12,1622,68,0,48,976,430,96,4,32,0,276,6,2,42,2678,30,60,64,90,4,4304,2774,918,8926,48,178,60,30,2,836,6,2,68,140,4,0,296,1414,6012,2,2,1190,32,226,272,2036,18,3244,446,736,1202,88,2,4384,6,20,6,10514,300,224,0,6,40,2,0,1060,12,0,96,0,8,24,600,24,854,706,0,0,988,2028,402,52,1346,4570,38,494,4184,234,404,72,74,2,20,6120,240,46,286,10,46,0,0,478,8,344,72,236,0,362,24,16,40,42,1562,0,62,46,44,164,134,132,72,10,2,66,94,2960,18,18,20,782,8,2358,1236,590,0,816,478,1806,110,328,460,2,72,2112,0,1532,56,96,2,778,902,2672,68,7032,76,60,2204,0,0,4,14,20,2,2,498,2,2,4,352,346,1972,14,2,8,68,2,6,16,1764,16,0,12,2,52,322,2116,0,3016,184,210,566,60,21134,82,0,2,74,0,1948,0,4,34,184,2544,108,94
IOT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
IRL,0,2,2,10,24,0,0,122,204,234,0,2388,1050,24,4,1744,18,0,10,78,392,26,4,68,0,208,0,0,6,1076,4,8,0,26,4,2236,1816,296,2490,10,24,6,0,0,424,0,4,30,16,0,0,326,728,3718,0,0,1254,4,134,212,420,0,2950,350,54,936,6,2,3118,4,16,2,10152,230,52,6,4,2,2,0,866,8,10,4,8,0,50,422,4,530,84,988,0,0,518,58,138,506,3166,6,50,746,56,88,40,8,0,8,508,56,4,56,4,24,0,2,204,4,350,102,298,0,52,14,20,14,0,412,0,62,6,94,6,160,4,14,2,0,12,62,456,38,10,4,94,4,2486,816,44,0,676,26,430,38,68,162,0,6,1190,0,1070,18,24,0,324,438,902,32,318,26,12,356,4,0,2,2,4,8,0,376,0,0,0,140,240,1454,0,0,2,6,2,4,4,314,6,4,2,0,16,58,598,0,400,50,52,404,22,5946,32,2,0,18,0,268,0,0,6,34,460,34,10
IRN,0,58,6,12,12,0,0,404,194,222,6,3596,870,242,2,904,24,0,8,196,296,46,0,44,2,224,0,0,14,1162,2,42,4,34,6,4452,1164,352,4688,10,90,8,4,0,472,0,2,42,22,0,0,294,910,3184,0,0,1176,12,210,236,776,4,2202,328,194,926,10,0,1810,4,18,4,4050,362,98,0,0,6,2,0,618,12,0,6,0,6,8,382,4,542,166,2028,0,518,0,890,44,148,3326,14,268,932,148,92,62,6,0,2,1488,274,6,176,0,34,0,0,216,0,322,58,202,0,94,0,4,24,0,670,0,40,10,20,14,138,22,16,8,0,20,6,1688,14,0,4,258,2,1390,608,88,0,596,324,1054,58,118,110,0,8,1242,0,1066,42,84,0,628,546,1228,30,974,66,14,500,0,0,2,0,6,0,2,394,0,0,0,274,176,1340,4,2,2,66,0,4,6,558,34,2,4,0,20,170,2564,0,970,32,40,302,14,8696,38,0,0,30,0,3358,0,8,20,58,856,30,38
IRQ,0,4,2,12,14,0,0,192,58,8,0,658,44,36,2,88,20,0,2,88,42,46,0,4,0,6,0,0,8,106,0,4,0,30,2,186,58,28,676,6,32,6,0,0,62,0,0,12,6,0,0,24,78,244,0,0,50,2,102,28,328,0,158,28,70,56,0,0,144,0,18,2,1328,22,46,0,0,2,0,0,42,0,0,2,0,4,2,40,2,88,94,402,0,58,890,0,30,42,266,2,192,96,16,46,40,2,0,0,142,120,2,66,0,54,0,0,36,0,16,4,10,0,64,0,0,2,0,80,0,10,6,4,12,2,2,8,6,0,16,6,1340,10,0,4,128,2,74,84,42,0,70,112,252,32,38,42,0,2,140,0,130,14,44,0,112,124,184,26,682,32,2,54,0,0,0,0,4,0,0,72,0,0,0,26,16,218,6,0,0,22,0,2,2,62,0,0,2,0,0,58,568,0,98,14,18,58,4,892,6,0,0,8,0,498,0,0,2,62,166,18,10
ISL,0,0,0,6,8,0,0,44,34,8,0,324,154,12,0,198,10,0,0,24,50,14,0,12,0,10,0,4,0,66,2,6,0,12,0,268,246,44,188,2,10,0,4,0,38,0,2,14,2,0,0,42,122,506,0,0,504,2,12,6,26,0,358,128,16,354,0,4,412,10,10,0,956,20,24,0,2,4,6,0,116,0,20,2,0,4,0,60,0,46,18,52,0,138,44,30,0,72,326,4,16,102,20,26,20,2,0,4,66,16,0,14,0,0,0,2,20,0,88,26,34,0,10,0,10,0,0,54,0,20,0,28,2,8,0,10,4,0,2,2,24,4,4,0,20,0,420,612,22,0,92,12,32,16,22,18,0,2,256,0,166,4,12,0,26,80,200,14,42,0,6,62,0,0,2,0,0,4,0,44,0,0,0,44,42,784,0,0,2,0,0,4,2,46,0,0,0,0,2,18,112,0,50,10,16,24,2,866,6,0,0,2,0,18,2,0,8,12,76,8,6
ISR,0,2,2,10,28,0,0,302,492,168,0,2056,1224,184,6,1360,18,0,10,54,346,16,20,30,0,218,2,4,2,886,8,10,2,20,2,2854,2016,562,2652,8,26,6,0,0,332,0,2,48,16,0,2,202,880,5018,0,0,1174,14,44,50,150,0,2836,148,42,682,0,2,3322,4,16,2,5208,214,46,2,2,6,2,0,974,2,4,14,0,2,2,362,4,668,58,1346,0,506,148,42,72,0,3886,8,92,1308,54,68,32,8,0,2,754,56,2,164,0,16,0,4,42,0,174,66,112,0,210,22,30,4,0,348,0,84,10,92,10,26,14,20,4,0,10,12,144,14,2,4,68,4,2246,830,36,0,346,44,108,36,70,60,0,2,1336,0,924,24,226,0,90,538,1666,20,296,14,8,498,2,0,2,0,4,4,0,428,4,0,2,298,544,1452,0,0,2,10,0,4,4,190,2,0,2,2,4,68,766,0,536,38,38,236,42,12056,22,0,0,28,0,130,0,0,20,22,530,26,10
ITA,0,12,10,12,322,4,0,956,2054,628,6,9108,7214,372,16,9886,50,0,80,248,1358,106,8,166,2,478,10,8,72,6298,10,34,10,42,10,9974,14004,2374,10528,72,240,38,38,0,1478,0,4,142,224,8,0,990,4510,26456,8,0,5798,46,590,464,1514,6,22154,896,240,3848,44,6,23918,6,20,12,35344,622,166,8,8,18,10,0,5746,12,14,38,16,6,56,2016,14,2602,402,4570,0,3166,3326,266,326,3886,0,22,332,6312,228,388,80,50,0,2,3404,208,22,616,2,60,2,12,292,4,940,546,556,0,680,112,72,78,56,2278,0,278,36,438,46,250,118,106,18,0,82,60,958,58,24,24,422,16,13600,3982,130,0,1500,218,1350,96,474,354,2,12,7180,4,5552,118,238,0,706,2946,5836,66,1742,86,72,1530,4,2,2,26,14,52,10,1850,8,0,10,1090,2018,7844,6,2,14,70,4,4,76,992,30,4,2,6,20,850,3968,0,1728,140,158,1184,180,38926,62,52,0,152,0,790,6,2,62,66,2158,44,44
JAM,0,2,2,0,2,0,0,8,12,2,0,24,8,2,2,10,4,0,2,6,6,0,6,4,0,4,0,0,6,34,28,4,0,2,2,70,34,26,12,2,6,2,0,2,20,0,2,10,22,0,2,2,12,18,0,2,6,18,12,10,8,0,18,6,8,8,2,0,16,0,0,2,106,6,12,0,0,0,0,0,6,2,0,6,2,2,4,8,6,4,10,38,0,6,14,2,4,8,22,0,8,18,4,24,4,2,2,0,10,2,2,2,0,2,2,0,8,0,4,2,4,0,4,2,0,2,2,40,0,2,2,2,4,0,4,4,2,0,2,4,14,0,2,2,18,6,22,6,8,0,8,0,8,10,14,12,2,4,8,0,10,2,4,0,8,8,8,2,10,2,2,8,0,0,2,0,2,0,0,6,0,0,0,6,2,14,0,0,6,0,2,2,2,4,0,0,2,0,14,6,10,0,6,8,10,2,8,198,2,0,2,14,0,10,0,2,0,4,34,4,2
JOR,0,14,2,10,12,0,0,828,74,12,0,400,202,32,4,106,24,0,4,84,22,58,0,14,0,12,0,0,4,160,4,20,0,22,2,468,126,60,396,2,24,4,2,0,80,0,2,20,10,2,0,46,140,544,2,0,64,10,164,14,576,0,218,34,76,100,0,0,238,0,18,2,934,20,64,0,0,2,0,0,92,0,0,10,0,4,4,58,4,66,80,494,0,50,268,192,16,92,332,8,0,216,78,56,40,10,0,0,156,170,2,174,2,44,0,0,40,0,20,8,6,0,100,4,0,4,0,94,0,14,4,8,6,6,12,12,10,0,10,8,368,4,0,2,82,4,196,66,54,0,76,120,346,36,52,66,0,6,126,0,110,18,156,0,224,102,236,26,1054,64,4,104,0,0,2,0,6,0,0,62,0,0,0,38,26,144,0,0,2,24,0,2,2,86,2,0,2,0,6,132,268,0,128,16,28,46,4,1430,8,0,0,10,0,194,0,0,8,90,128,20,6
JPN,4,40,4,12,32,0,0,464,920,320,10,7186,2214,300,6,2614,32,0,34,1326,434,52,8,24,0,218,4,6,36,2672,4,52,46,34,4,6226,4176,1140,20382,36,82,34,20,4,558,0,2,56,150,4,0,110,1784,11488,0,0,2000,20,94,76,2074,0,5018,212,156,1606,56,2,8684,0,22,18,12462,256,166,4,16,12,0,0,1172,78,4,32,14,8,12,518,4,1084,2364,4184,0,746,932,96,102,1308,6312,18,216,0,138,192,62,132,2,16,6344,90,90,134,4,34,2,2,310,2,204,86,80,0,348,40,28,64,8,1086,0,36,8,30,318,4,284,40,8,0,24,48,2024,28,16,2,326,18,4194,1530,254,0,1152,90,650,104,290,812,8,32,2306,6,1242,46,172,0,182,898,3312,36,1216,66,32,2118,0,0,8,18,6,0,4,412,0,0,2,470,540,3562,0,2,8,38,2,2,10,2814,20,0,2,4,6,116,1438,0,4476,92,102,468,62,29230,72,2,2,78,0,2188,12,2,2,34,1266,122,20
KAZ,0,6,2,6,10,0,0,54,32,34,0,130,68,46,2,116,14,0,4,42,74,16,0,12,0,112,0,0,2,50,2,10,2,20,2,112,84,30,394,6,20,2,0,0,28,2,2,12,4,0,0,40,110,304,0,0,68,4,12,8,80,0,132,62,24,66,0,0,208,0,12,2,362,36,18,0,0,2,0,0,88,0,0,4,0,2,2,40,6,54,38,234,0,56,148,16,20,54,228,4,78,138,0,30,112,4,0,0,170,32,4,24,0,6,0,0,24,4,50,18,64,0,10,0,22,6,0,50,0,18,2,14,10,8,28,14,2,0,4,6,62,2,0,2,28,2,72,102,24,0,30,24,150,18,28,30,0,2,268,0,78,6,24,0,26,78,1222,16,128,4,4,70,0,0,2,0,2,8,0,44,0,0,0,40,32,84,0,0,4,2,0,4,4,40,14,6,4,0,6,38,166,0,34,20,20,224,6,498,58,0,0,4,0,86,0,0,6,16,78,14,8
KEN,0,6,10,12,14,0,0,70,132,10,0,558,156,14,36,406,94,0,98,140,22,22,6,6,0,14,4,0,24,278,4,8,12,100,10,538,544,62,594,90,170,98,42,2,118,6,6,26,16,0,0,18,60,700,0,0,154,10,30,28,120,0,208,42,356,138,10,0,406,2,18,22,2026,30,362,4,8,58,6,2,54,6,0,60,4,4,6,42,20,54,110,404,0,88,92,46,26,68,388,24,56,192,30,0,38,32,2,12,100,34,14,34,16,12,2,0,62,14,16,14,12,0,42,10,4,20,4,212,0,8,64,8,28,0,16,136,4,0,38,204,98,42,6,30,406,8,462,166,86,0,118,34,176,50,150,94,2,18,70,0,122,20,26,0,32,54,90,136,90,86,112,88,0,0,2,22,6,0,10,50,18,2,6,26,20,306,24,0,22,0,2,8,18,150,2,0,14,2,14,38,66,0,74,414,568,46,30,2744,8,0,2,18,0,128,0,6,4,30,1062,198,178
KGZ,0,2,2,12,6,0,0,40,44,30,0,62,26,28,2,60,22,0,4,48,26,22,0,12,0,28,0,0,4,54,2,6,0,22,2,80,78,20,112,2,22,4,0,0,44,0,2,12,4,0,0,26,34,108,0,0,46,4,30,4,54,0,78,36,50,64,0,0,58,0,18,2,202,30,40,0,0,2,0,0,40,0,0,2,0,4,2,48,8,28,48,72,0,40,62,40,20,32,80,4,40,62,112,38,0,4,0,0,62,34,4,18,0,14,0,0,34,6,24,12,12,0,14,0,12,2,0,52,0,18,2,14,10,10,14,14,6,0,2,6,66,4,0,4,52,2,74,68,46,0,48,14,84,30,48,36,0,2,70,0,72,14,16,0,32,68,180,24,58,12,2,48,0,0,2,0,2,8,0,56,0,0,0,28,20,74,0,0,2,6,0,2,2,30,22,4,2,0,0,16,172,0,38,12,24,58,4,116,32,0,0,6,0,70,0,0,4,22,60,12,6
KHM,0,2,2,0,8,0,0,2,6,2,0,170,18,2,4,48,4,0,6,28,4,0,0,0,0,4,2,0,4,26,2,8,2,6,2,52,78,6,90,8,8,10,0,0,22,0,0,4,2,0,0,0,6,34,2,0,16,4,2,8,6,0,20,4,14,10,0,0,200,0,0,6,230,4,30,0,0,12,0,0,4,0,0,8,2,0,2,8,8,6,70,74,0,8,6,2,2,8,50,2,10,132,4,32,4,0,0,0,58,0,78,4,0,2,0,0,12,0,4,2,4,0,4,0,2,26,0,16,0,4,8,2,48,0,8,8,2,0,0,18,72,0,0,2,16,2,52,20,26,0,24,0,20,2,16,66,0,8,10,0,4,4,0,0,0,2,12,6,12,4,20,86,0,0,2,4,4,0,0,4,2,0,0,4,8,12,0,0,0,0,0,4,4,190,2,0,4,0,0,6,6,0,28,16,22,2,2,336,2,0,0,4,0,122,2,0,2,4,20,12,4
KIR,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,6,0,0,0,0,6,2,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,0,6,0,0,2,0,0,0,2,6,0,0,2,0,0
KNA,6,0,0,0,0,0,0,2,0,0,4,4,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,22,6,24,24,0,0,0,0,0,4,0,0,0,0,0,2,0,4,14,0,0,18,2,2,0,4,0,6,0,0,0,0,0,12,0,0,0,46,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,2,0,20,0,8,2,0,4,2,2,0,0,16,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,4,8,0,0,2,0,2,4,2,0,0,0,14,0,2,0,0,0,0,4,0,0,2,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,0,2,116,0,0,0,0,4,4,0,0,0,0,36,4,0
KOR,0,2,4,12,6,0,0,550,310,344,6,3966,994,126,2,1408,30,0,16,746,350,28,0,16,0,238,0,0,14,1272,4,76,14,26,4,3498,1978,452,12556,6,54,22,2,0,428,0,2,36,114,0,0,268,1036,5094,0,0,1140,12,100,230,1126,2,2844,300,196,1018,26,2,3460,6,18,2,6316,266,108,0,4,4,2,0,738,8,4,20,0,4,4,448,4,772,758,6120,0,508,1488,142,66,754,3404,10,156,6344,170,100,62,58,0,2,0,90,28,132,0,18,0,4,314,0,276,78,220,0,146,24,14,18,2,788,0,26,8,18,74,130,152,16,8,0,32,16,1314,14,4,6,202,6,1536,788,228,0,742,208,2742,46,228,438,0,8,1326,18,776,36,42,0,398,370,1864,48,1978,40,20,1904,0,0,2,4,4,0,0,348,0,0,0,254,212,1354,2,0,2,12,0,2,2,1172,2,0,2,0,6,120,1242,0,2502,68,84,522,30,22930,86,4,0,54,0,2776,0,2,0,44,650,22,14
KWT,0,0,0,12,0,0,0,254,68,4,0,224,32,18,0,122,20,0,0,56,26,100,0,6,0,2,0,0,0,110,4,8,0,16,0,280,80,24,212,0,16,0,0,0,70,0,2,14,4,0,0,36,66,194,2,0,64,6,68,10,450,0,174,26,40,74,0,0,180,0,16,0,600,14,32,0,0,0,0,0,66,0,0,0,0,4,4,46,0,46,50,240,0,56,274,120,16,56,208,2,170,90,32,34,34,0,0,0,90,0,0,130,0,20,0,0,36,0,6,8,2,0,74,4,0,0,0,74,0,10,0,8,4,0,8,8,4,0,2,4,156,4,0,0,58,2,108,60,44,0,56,106,156,30,44,52,0,4,84,0,66,8,46,0,180,66,78,22,400,24,4,72,0,0,2,0,2,0,0,62,0,0,0,28,54,74,0,0,2,12,0,0,0,50,0,0,0,0,0,88,256,0,82,12,12,28,2,692,6,0,0,8,0,148,0,0,6,46,60,12,2
LAO,0,2,2,0,2,0,0,0,4,2,0,96,10,2,2,16,2,0,6,12,2,0,0,0,0,2,0,0,2,14,0,4,0,2,2,22,56,4,74,2,6,4,0,0,10,0,0,4,2,0,0,0,2,38,0,0,16,2,2,2,2,0,12,2,6,6,0,0,84,0,0,2,192,2,10,0,0,8,0,0,0,0,0,2,0,0,2,4,4,4,22,46,0,4,6,2,0,2,22,2,2,90,4,14,4,78,0,0,28,0,0,2,0,2,0,0,10,0,2,12,2,0,2,0,0,2,0,6,0,2,4,0,46,0,8,4,2,0,2,14,16,0,4,2,4,4,62,6,12,0,12,4,6,2,8,20,0,6,2,0,4,2,0,0,0,4,8,2,6,2,6,18,0,0,2,0,2,0,0,2,0,0,0,2,2,12,0,0,0,0,0,2,2,176,0,0,2,0,0,2,2,0,10,18,8,2,2,144,4,0,0,2,0,108,0,0,0,2,8,8,4
