,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CUW,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTQ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0
MWI,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,6,0,1,1,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,29,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0,1,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,25,0,0,0,0,0,0,0,0,0,18,2,5
MYS,0,1,0,0,0,73,2,0,168,15,3,0,12,0,0,58,1,6,0,1,0,0,0,0,11,0,9,0,0,0,46,16,11,322,0,1,0,0,0,6,0,1,0,0,1,12,42,0,6,1,1,3,15,0,34,6,1,29,1,0,41,0,0,0,225,2,4,0,0,0,6,0,0,0,0,0,0,0,10,0,8,68,86,22,38,13,2,8,46,0,0,13,27,6,3,0,2,0,41,2,2,3,1,4,0,0,2,0,14,0,3,0,5,0,0,0,1,10,6,0,0,1,2,0,1,0,0,1,0,0,0,0,0,27,0,22,17,2,33,23,167,0,10,20,0,0,19,0,0,20,0,4,13,12,39,2,93,4,3,44,0,0,0,0,0,0,5,0,0,9,4,17,0,0,0,0,0,0,39,0,0,0,0,3,35,0,51,3,5,6,1,153,4,0,0,0,35,0,0,1,8,30,1,1
NAM,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,3,0,2,0,0,0,1,0,1,0,0,0,0,9,0,2,0,0,1,0,0,3,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,11,0,2
NCL,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
NER,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
NGA,0,2,0,1,0,8,4,1,29,4,0,1,14,3,1,5,5,0,0,2,0,0,0,1,18,0,3,0,1,0,26,11,9,38,3,4,1,3,0,10,0,0,1,0,3,6,34,0,3,0,4,6,5,0,18,7,1,12,0,0,20,0,0,0,130,1,19,0,0,0,3,0,0,1,0,0,1,0,7,0,7,14,20,4,7,4,1,4,18,0,0,2,18,4,24,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,9,5,0,0,0,0,0,1,0,0,0,4,27,1,1,4,0,0,18,5,2,13,2,19,0,8,5,0,0,14,0,0,15,1,3,3,11,13,1,13,0,4,6,0,0,2,0,0,0,4,0,2,7,5,7,0,0,0,2,0,2,6,0,0,0,1,1,32,0,5,10,9,7,1,96,0,0,0,0,7,0,0,1,1,121,3,2
NIC,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
NLD,1,1,0,2,0,18,24,0,406,128,0,1,592,2,0,8,13,0,1,2,0,1,0,0,87,2,0,0,1,0,314,291,50,396,2,3,3,0,0,32,0,5,3,4,12,60,922,0,188,0,5,14,9,0,306,38,15,144,1,0,302,0,0,0,1235,5,23,0,1,1,46,0,0,1,0,0,1,0,22,0,40,67,74,74,29,4,13,79,371,3,0,6,89,5,27,0,0,0,31,3,0,11,1,0,0,1,2,0,13,32,5,0,4,0,0,0,0,28,7,1,7,0,0,1,2,0,0,0,2,22,2,1,0,18,0,8,221,5,68,4,14,0,17,12,0,0,95,0,0,115,1,3,3,52,46,1,13,1,4,65,1,0,0,1,0,0,22,0,2,15,19,248,0,0,0,0,0,0,16,0,0,0,4,5,93,0,30,4,17,10,5,1206,2,0,3,0,12,0,0,3,0,148,3,1
NOR,0,0,0,1,0,21,8,1,147,55,0,0,89,0,0,3,4,0,0,3,0,0,0,0,32,0,0,0,1,0,104,100,13,116,0,0,0,0,0,13,1,1,0,0,15,27,293,0,186,0,1,4,5,0,128,10,10,157,3,0,96,2,0,0,580,4,7,0,0,0,28,0,0,1,0,0,1,1,13,0,30,6,51,54,18,1,22,36,152,1,0,2,42,4,7,2,1,0,16,0,0,3,0,0,0,0,2,0,19,6,7,0,1,0,0,0,0,4,4,0,2,1,0,0,0,2,0,1,2,17,1,0,0,5,0,221,2,3,41,3,16,0,4,5,0,0,57,0,0,60,1,1,1,17,24,0,8,1,0,23,1,0,0,0,0,0,12,0,0,9,11,326,0,0,0,0,0,0,11,0,0,0,0,1,47,0,10,9,2,5,1,481,0,0,0,0,2,0,0,2,0,89,2,0
NPL,0,0,0,0,0,1,2,0,13,1,0,0,2,0,0,3,1,0,0,0,0,0,0,0,3,0,0,1,0,0,5,3,0,10,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,1,1,0,1,1,0,0,0,0,3,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,3,2,0,0,1,3,0,0,1,5,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,5,3,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,24,0,0,0,0,1,0,0,0,0,2,0,0
NZL,0,0,0,0,0,24,10,1,425,14,0,0,31,0,0,7,5,1,1,3,0,0,0,0,47,0,0,0,0,0,112,26,21,229,0,1,0,0,0,11,0,2,1,0,1,10,86,0,24,0,1,5,2,0,40,7,1,36,2,0,56,0,0,0,337,0,9,0,0,0,10,0,1,1,0,0,1,0,7,0,5,17,32,41,7,2,2,18,39,0,0,0,31,12,1,0,3,0,37,2,2,5,0,1,0,0,7,0,6,2,4,0,2,0,0,0,0,3,4,0,2,0,0,0,1,0,0,0,0,33,1,1,2,13,0,68,41,2,0,5,23,1,6,9,0,3,19,0,0,20,0,3,7,9,17,0,9,0,2,35,0,0,0,0,0,0,5,0,0,7,5,62,0,0,0,0,0,1,10,0,0,1,0,0,26,0,17,3,5,4,3,354,0,0,1,0,43,1,4,0,0,43,0,0
OMN,0,0,0,0,0,15,0,0,15,3,0,1,3,0,0,7,0,4,0,0,0,0,0,0,2,0,0,0,0,0,7,3,3,16,0,1,0,0,0,1,0,0,2,0,1,2,8,0,0,0,3,2,22,0,8,1,0,7,1,0,6,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,3,7,1,15,2,1,1,10,0,0,10,5,1,0,0,0,0,14,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,4,3,0,5,0,16,0,2,1,0,1,5,0,0,4,0,0,4,3,9,0,12,0,0,1,0,0,0,0,0,0,3,0,0,3,1,6,0,0,0,0,0,0,3,0,0,0,0,1,8,0,5,0,1,1,0,15,0,0,0,0,15,0,0,1,1,3,0,1
PAK,0,6,0,0,0,75,1,2,83,16,1,1,10,0,0,13,2,10,0,3,0,0,0,0,15,0,4,0,1,0,56,12,26,541,0,1,0,0,0,11,0,1,1,0,2,22,33,0,8,0,2,7,11,0,45,5,1,19,0,0,69,0,0,0,155,1,6,0,0,0,6,0,0,1,0,0,0,0,6,0,9,19,40,15,9,4,0,6,40,0,0,7,21,8,4,0,1,0,48,2,1,10,0,0,0,0,3,0,7,0,4,0,12,0,0,0,0,8,4,0,0,0,1,1,0,0,0,0,0,167,0,0,0,19,0,14,16,0,23,16,0,0,13,11,0,0,21,0,0,22,0,2,12,24,38,0,133,0,3,10,0,0,0,0,0,0,4,0,0,6,4,11,0,0,0,0,0,1,27,0,0,0,0,8,65,0,23,0,2,5,1,130,5,0,0,0,29,0,0,1,1,18,0,0
PAN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
PER,0,0,0,0,0,8,15,1,15,5,0,1,10,1,0,1,2,0,0,2,0,0,0,10,33,0,0,0,0,0,18,7,41,18,0,1,1,0,0,35,0,4,5,0,0,2,22,0,2,1,3,23,3,0,45,5,1,6,0,0,14,0,0,0,45,0,2,0,0,0,4,0,0,4,0,0,1,0,5,0,3,6,6,1,7,2,1,6,17,1,0,1,9,4,3,0,0,0,7,0,0,2,1,0,0,0,0,0,2,2,4,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,1,10,0,0,0,8,0,17,4,0,6,2,13,1,0,5,0,0,11,0,0,11,6,1,0,7,6,2,4,0,3,8,0,0,0,5,0,0,4,0,0,7,1,5,0,0,0,0,0,1,9,0,0,0,0,1,11,0,2,1,2,6,10,78,2,0,1,0,5,0,0,2,0,5,0,0
PHL,0,0,0,0,0,6,1,1,25,3,0,0,8,2,0,5,2,0,0,1,0,0,0,0,7,0,1,0,0,0,18,8,6,91,0,0,0,0,0,6,0,0,0,0,0,2,17,0,1,0,0,2,2,0,10,3,1,3,1,0,9,0,0,0,44,0,5,0,0,0,2,0,0,0,0,0,0,0,2,0,2,14,9,2,3,1,0,4,10,2,0,2,15,5,7,1,1,0,14,0,1,1,0,0,0,0,4,0,1,0,3,0,1,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,20,0,0,0,5,0,12,5,0,9,1,11,0,5,2,0,1,5,0,0,7,0,2,0,6,4,0,10,0,2,16,0,0,0,0,0,0,2,0,0,5,1,6,0,0,0,0,0,1,20,0,0,0,0,0,6,0,15,2,3,3,1,60,0,0,0,0,11,0,0,0,0,6,0,0
PLW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PNG,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
POL,0,0,1,3,0,19,5,5,76,41,0,1,54,0,0,6,8,2,0,9,0,0,0,0,39,0,0,0,0,0,65,51,21,102,0,1,0,0,0,12,1,3,5,0,7,60,187,0,37,0,5,7,9,0,109,19,2,53,0,0,111,0,0,0,291,6,4,0,0,0,22,0,0,1,0,0,1,1,24,0,54,14,24,19,25,2,11,26,133,2,0,1,40,8,11,0,0,0,30,0,0,8,0,0,0,0,1,0,27,9,22,0,3,0,1,0,0,11,7,0,0,0,1,0,0,0,0,0,1,19,1,0,0,14,0,95,57,2,19,5,21,1,11,5,0,0,0,0,0,57,1,1,1,31,44,0,11,2,3,15,0,0,0,0,0,0,19,0,0,24,14,85,0,0,0,0,0,2,14,0,0,0,1,6,45,0,8,2,5,34,3,266,3,0,0,0,10,0,0,5,0,35,1,0
PRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PRT,0,0,2,2,0,17,13,2,84,31,0,1,53,0,0,5,12,1,0,3,0,0,0,0,195,0,0,0,0,0,70,57,31,71,0,3,0,0,1,24,3,2,1,0,10,17,129,0,36,1,2,9,4,0,277,17,0,48,0,0,124,0,0,0,309,5,5,1,0,0,39,0,0,0,0,0,0,1,24,0,22,12,23,32,18,3,5,26,146,1,0,0,26,5,6,1,0,0,21,2,0,10,0,0,0,0,3,0,19,6,10,0,3,0,0,0,0,17,7,0,5,0,2,2,13,0,0,0,2,20,2,0,0,15,0,115,60,1,20,4,22,0,11,7,0,0,57,0,0,0,2,2,2,29,23,0,4,0,4,18,0,0,0,0,0,0,10,0,0,10,19,66,0,0,0,0,0,1,13,0,0,0,1,3,39,0,10,3,6,7,3,247,0,0,0,0,18,0,0,1,0,32,1,1
PRY,0,0,0,0,0,0,7,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,4,8,0,0,0,0,0,1,1,9,1,0,0,0,0,0,7,0,1,3,0,0,1,3,0,1,0,0,8,1,0,7,1,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,1,0,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,6,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,0,1,0,0,0,0,0,0,1,0,0
PSE,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,2,4,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,5,0,6,1,1,1,0,0,3,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,3,0,1,0,0,1,7,0,0,7,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,1,0,3,0,2,0,1,2,0,0,1,0,0,2,0,0,3,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,8,0,0,0,0,0,0,0,0,0,4,0,0
QAT,0,1,0,0,0,14,3,0,15,1,0,0,6,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,3,1,9,0,0,0,0,0,5,0,0,0,0,1,0,7,0,7,1,0,0,5,0,4,0,0,4,0,0,10,0,0,0,52,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,20,2,5,0,0,5,6,0,0,6,2,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,3,0,3,1,0,7,4,12,0,0,0,0,0,1,0,0,2,0,3,0,0,2,0,16,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,10,12,0,0,0,0,0,0,45,0,0,0,0,3,0,0,0,2,2,0,0
ROU,0,0,0,3,0,9,4,2,22,19,0,1,27,0,0,4,6,0,0,4,0,0,0,0,19,0,0,0,0,0,26,25,11,48,0,1,0,0,0,9,1,0,2,0,2,11,50,0,12,0,3,8,3,0,49,7,0,15,0,0,45,0,0,0,84,1,7,0,0,0,15,0,0,0,0,0,0,0,17,0,28,12,15,12,14,2,7,15,51,2,0,0,16,6,2,0,0,0,11,0,0,5,0,1,0,0,2,0,7,7,8,0,5,0,2,0,0,10,5,0,2,0,1,0,0,0,0,0,1,12,0,0,0,11,0,52,17,2,9,3,24,0,7,6,0,0,31,0,0,29,1,2,0,0,10,0,4,0,0,7,0,0,0,0,0,0,13,0,0,7,6,10,0,0,0,0,0,1,8,0,0,0,0,0,26,0,5,2,2,7,1,64,0,0,0,0,7,0,0,2,0,16,0,0
RUS,0,0,0,0,0,59,9,8,47,24,2,1,24,0,0,8,11,3,1,2,2,0,0,0,23,0,0,0,0,0,72,29,13,79,0,2,0,0,0,10,0,2,4,0,8,18,105,0,17,1,2,4,6,0,61,17,0,47,1,0,99,0,0,0,169,0,6,0,0,0,14,0,0,0,0,0,0,0,22,0,8,10,31,21,9,5,4,17,93,1,0,5,27,17,1,3,0,0,36,2,0,11,0,0,0,0,0,0,8,1,2,0,12,0,1,0,0,9,2,0,2,0,1,4,0,0,0,0,0,39,1,0,0,13,0,46,24,0,17,9,38,0,6,4,0,0,44,0,0,23,0,1,2,10,0,0,9,0,1,6,0,0,0,0,0,0,15,0,0,9,2,35,0,0,0,0,0,1,10,1,0,0,3,3,38,0,4,2,4,9,4,185,4,0,1,0,33,0,0,2,0,14,2,0
RWA,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,11,0,0,0,0,1,0,0,0,0,3,2,2
SAU,0,2,1,0,0,46,2,2,63,6,4,0,5,0,0,18,1,8,0,0,0,0,0,0,10,0,3,0,0,0,35,3,4,116,0,0,0,0,0,4,0,0,0,0,4,5,23,0,5,0,7,5,73,0,20,3,1,9,0,0,30,0,0,0,143,0,1,0,0,0,17,1,0,0,0,0,0,0,3,0,4,17,67,11,20,8,4,2,15,0,0,24,9,11,2,1,2,0,16,6,0,17,1,2,0,0,1,0,4,1,0,0,7,0,0,0,0,6,0,0,0,0,1,0,1,0,0,1,0,93,0,1,0,13,0,13,8,1,9,12,133,0,4,10,0,0,11,0,0,4,0,2,16,4,9,1,0,13,0,5,0,0,0,0,0,0,5,0,0,1,1,6,0,0,0,2,0,0,15,0,0,0,0,38,25,0,14,1,0,1,0,123,2,0,0,0,9,0,0,1,12,11,0,0
